Nation,Urban Population Percentage,Fertility Rate
Singapore,100,0.87
Japan,91.8,1.43
UK,83.9,1.86
Austria,58.7,1.49
Australia,86.2,1.74
Belgium,98.1,1.77
Canada,81.6,1.57
Chile,87.7,1.77
Colombia,81.4,1.94
Czechia,74.1,1.48
Denmark,88.1,1.78
Estonia,69.2,1.61
Finland,85.5,1.74
France,81,2.06
Germany,77.5,1.47
Greece,87.3,1.38
Hungary,71.9,1.47
Iceland,93.9,1.97
Ireland,63.7,1.94
Israel,92.6,2.59
Italy,71,1.47
South Korea,81.4,1.29
Latvia,68.3,1.53
Lithuania,68,1.6
Luxembourg,91.5,1.62
Mexico,80.7,2.19
Netherlands,92.2,1.77
Norway,83,1.84
Poland,60,1.38
Portugal,66.3,1.41
Slovakia,53.8,1.44
Slovenia,55.1,1.59
Spain,80.8,1.51
Sweden,88,1.87
Switzerland,73.9,1.57
Turkey,76.1,1.96
USA,83.9,1.84
